Handle,Command,Title,Body HTML,Tags,SEO Title,SEO Description,Metafield: custom.material [single_line_text_field],Metafield: custom.nominal_size [single_line_text_field],Metafield: custom.pattern [single_line_text_field],Metafield: custom.finish [single_line_text_field],Metafield: custom.color_family [single_line_text_field],Metafield: custom.units_per_box [number_integer],Metafield: custom.sqft_per_box [number_decimal],Metafield: custom.thickness_in [number_decimal],Metafield: custom.price_per_sqft [number_decimal],Metafield: custom.price_unit [single_line_text_field],Metafield: custom.source_sku [single_line_text_field]
calgldmos1305,UPDATE,"Calacatta Gold White Marble Square 5/8"" x 5/8"" Mosaic — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 5/8"" x 5/8""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Square</li><li><strong>Colour family</strong> — White</li><li><strong>Coverage</strong> — 8.0 sq ft per box (8 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, Shower Floor, White, Square, Polished, Micro Mosaic","Calacatta Gold White Marble Square 5/8"" x 5/8"" Mosaic — Polished","Calacatta Gold White Marble Square 5/8"" x 5/8"" Mosaic — Polished. Natural marble sold by the box, $22.35 per sq ft. Samples available. Ships across the continental US.",Marble,"5/8"" x 5/8""",Square,Polished,White,8,8.0,0.375,22.35,sq ft,CAGOMARMOS930209
arabesque-calacatta-gold-12-x-12-mosaic-tile-1,UPDATE,"Arabesque Calacatta Gold 12"" x 12"" Mosaic","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 12"" x 12""</li><li><strong>Pattern</strong> — Arabesque</li><li><strong>Colour family</strong> — White</li><li><strong>Coverage</strong> — 8.0 sq ft per box (8 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, White, Arabesque","Arabesque Calacatta Gold 12"" x 12"" Mosaic","Arabesque Calacatta Gold 12"" x 12"" Mosaic. Natural marble sold by the box, $29.36 per sq ft. Samples available. Ships across the continental US.",Marble,"12"" x 12""",Arabesque,,White,8,8.0,0.375,29.36,sq ft,ARCAMARMOS744117
atrium-honed-marble-blend-mosaic-tile-in-nero-marquina-bardiglio-myra-beige,UPDATE,"Atrium Matte Marble Blend in Nero Marquina, Bardiglio & Myra Beige 15 3/4"" x 15 3/4"" Mosaic","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 15 3/4"" x 15 3/4""</li><li><strong>Finish</strong> — Matte</li><li><strong>Pattern</strong> — Square</li><li><strong>Colour family</strong> — Beige</li><li><strong>Coverage</strong> — 8.6 sq ft per box (9 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, Beige, Square, Matte","Atrium Matte Marble Blend in Nero Marquina, Bardiglio & Myra Beige 15 ","Atrium Matte Marble Blend in Nero Marquina, Bardiglio & Myra Beige 15 3/4"" x 15 3/4"" Mosaic. Natural marble sold by the box, $46.99 per sq ft. Samples available. Ships across the continental US.",Marble,"15 3/4"" x 15 3/4""",Square,Matte,Beige,9,8.6,0.375,46.99,sq ft,ATHOMARTIL507701
thassos-white-greek-marble-border-3-8-basketweave-border-corner-w-ming-green,UPDATE,Thassos Pure White Marble Basketweave Border Corner w/ Ming Green — Polished,"<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Basketweave</li><li><strong>Colour family</strong> — White</li><li><strong>Sold by</strong> — the piece</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Trim, Natural Stone, Wall, White, Basketweave, Polished",Thassos Pure White Marble Basketweave Border Corner w/ Ming Green — Po,"Thassos Pure White Marble Basketweave Border Corner w/ Ming Green — Polished. Natural marble sold by the piece, $77.74 per piece. Samples available. Ships across the continental US.",Marble,,Basketweave,Polished,White,1,,0.75,77.74,piece,THWHMARBOR356597
combhex-thassos-grey-marble-polished-floor-and-wall-mosaic,UPDATE,"Hexalux Thassos Grey Marble 12"" x 12"" Mosaic — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 12"" x 12""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Hexagon</li><li><strong>Colour family</strong> — Grey</li><li><strong>Coverage</strong> — 6.72 sq ft per box (7 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, Grey, Hexagon, Polished","Hexalux Thassos Grey Marble 12"" x 12"" Mosaic — Polished","Hexalux Thassos Grey Marble 12"" x 12"" Mosaic — Polished. Natural marble sold by the box, $32.29 per sq ft. Samples available. Ships across the continental US.",Marble,"12"" x 12""",Hexagon,Polished,Grey,7,6.72,0.375,32.29,sq ft,HETHMARMOS309109
combhex-thassos-grey-marble-polished-wall-mosaic,UPDATE,"Hexalux Thassos Grey Marble 12"" x 12"" Mosaic — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 12"" x 12""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Hexagon</li><li><strong>Colour family</strong> — Grey</li><li><strong>Coverage</strong> — 6.72 sq ft per box (7 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, Grey, Hexagon, Polished","Hexalux Thassos Grey Marble 12"" x 12"" Mosaic — Polished","Hexalux Thassos Grey Marble 12"" x 12"" Mosaic — Polished. Natural marble sold by the box, $32.29 per sq ft. Samples available. Ships across the continental US.",Marble,"12"" x 12""",Hexagon,Polished,Grey,7,6.72,0.375,32.29,sq ft,HETHMARMOS333813
combhex-thassos-nero-marquina-marble-polished-wall-mosaic,UPDATE,"Hexalux Thassos Nero Marquina Marble 12"" x 12"" Mosaic — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 12"" x 12""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Hexagon</li><li><strong>Colour family</strong> — Grey</li><li><strong>Coverage</strong> — 6.72 sq ft per box (7 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, Grey, Hexagon, Polished","Hexalux Thassos Nero Marquina Marble 12"" x 12"" Mosaic — Polished","Hexalux Thassos Nero Marquina Marble 12"" x 12"" Mosaic — Polished. Natural marble sold by the box, $32.29 per sq ft. Samples available. Ships across the continental US.",Marble,"12"" x 12""",Hexagon,Polished,Grey,7,6.72,0.375,32.29,sq ft,HETHMARMOS368565
thassos-classic-1-2-x12-honed-marble-pencil-liner-trim-tile,UPDATE,"Polar White (Crystal Thassos) Matte Marble Pencil Liner Trim 1/2"" x 12""","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 1/2"" x 12""</li><li><strong>Finish</strong> — Matte</li><li><strong>Colour family</strong> — White</li><li><strong>Sold by</strong> — the piece</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Trim, Natural Stone, Wall, White, Matte","Polar White (Crystal Thassos) Matte Marble Pencil Liner Trim 1/2"" x 12","Polar White (Crystal Thassos) Matte Marble Pencil Liner Trim 1/2"" x 12"". Natural marble sold by the piece, $75.00 per piece. Samples available. Ships across the continental US.",Marble,"1/2"" x 12""",,Matte,White,1,,0.75,75.00,piece,THCLMARTRI720245
thassos-white-greek-marble-polished-3-8-basketweave-border-corner-w-blue-gray,UPDATE,Thassos Pure White Marble Basketweave Border Corner w/ Blue-Gray — Polished,"<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Basketweave</li><li><strong>Colour family</strong> — White</li><li><strong>Sold by</strong> — the piece</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Trim, Natural Stone, Wall, White, Basketweave, Polished",Thassos Pure White Marble Basketweave Border Corner w/ Blue-Gray — Pol,"Thassos Pure White Marble Basketweave Border Corner w/ Blue-Gray — Polished. Natural marble sold by the piece, $76.45 per piece. Samples available. Ships across the continental US.",Marble,,Basketweave,Polished,White,1,,0.75,76.45,piece,THWHMARBOR553653
checkers-with-thassos-white-calacatta-gold-12x12-polished-tile,UPDATE,"Checkerboard Thassos White & Calacatta Gold Polished 12"" x 12"" Tile","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 12"" x 12""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Checkerboard</li><li><strong>Colour family</strong> — White</li><li><strong>Coverage</strong> — 10.0 sq ft per box (10 pieces)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Floor & Wall Tile, Natural Stone, Floor, Wall, White, Checkerboard, Polished","Checkerboard Thassos White & Calacatta Gold Polished 12"" x 12"" Tile","Checkerboard Thassos White & Calacatta Gold Polished 12"" x 12"" Tile. Natural marble sold by the box, $25.99 per sq ft. Samples available. Ships across the continental US.",Marble,"12"" x 12""",Checkerboard,Polished,White,10,10.0,0.375,25.99,sq ft,CHTHMARTIL610997
north-pole-labyrinth-thassos-marble-polished-backsplash,UPDATE,"Cappadocia Maze Thassos Marble 12"" x 12"" Tile — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 12"" x 12""</li><li><strong>Finish</strong> — Polished</li><li><strong>Colour family</strong> — White</li><li><strong>Coverage</strong> — 6.72 sq ft per box (7 pieces)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Floor & Wall Tile, Natural Stone, Floor, Wall, White, Polished","Cappadocia Maze Thassos Marble 12"" x 12"" Tile — Polished","Cappadocia Maze Thassos Marble 12"" x 12"" Tile — Polished. Natural marble sold by the box, $31.43 per sq ft. Samples available. Ships across the continental US.",Marble,"12"" x 12""",,Polished,White,7,6.72,0.375,31.43,sq ft,CAMAMARMOS902901
bower-thassos-black-basalt-marble-polished-floor-wall-mosaic,UPDATE,"Bower Thassos & Black Basalt Marble 12"" x 12"" Mosaic — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 12"" x 12""</li><li><strong>Finish</strong> — Polished</li><li><strong>Colour family</strong> — Grey</li><li><strong>Coverage</strong> — 8.0 sq ft per box (8 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, Grey, Polished","Bower Thassos & Black Basalt Marble 12"" x 12"" Mosaic — Polished","Bower Thassos & Black Basalt Marble 12"" x 12"" Mosaic — Polished. Natural marble sold by the box, $31.12 per sq ft. Samples available. Ships across the continental US.",Marble,"12"" x 12""",,Polished,Grey,8,8.0,0.375,31.12,sq ft,BOTHMARMOS726325
bardiglio-imperiale-box-liner-trim-tile-3-4x12,UPDATE,"Bardiglio Imperiale Box Liner Trim 3/4"" x 12"" — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 3/4"" x 12""</li><li><strong>Finish</strong> — Polished</li><li><strong>Colour family</strong> — Grey</li><li><strong>Sold by</strong> — the piece</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Trim, Natural Stone, Wall, Grey, Polished","Bardiglio Imperiale Box Liner Trim 3/4"" x 12"" — Polished","Bardiglio Imperiale Box Liner Trim 3/4"" x 12"" — Polished. Natural marble sold by the piece, $120.00 per piece. Samples available. Ships across the continental US.",Marble,"3/4"" x 12""",,Polished,Grey,1,,0.75,120.00,piece,BAIMMARTRI462133
water-drop-calacatta-gold-honed-11-x-11-mosaic-tile,UPDATE,"Water Drop Calacatta Gold Honed 11"" x 11"" Mosaic","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 11"" x 11""</li><li><strong>Finish</strong> — Honed</li><li><strong>Pattern</strong> — Arabesque</li><li><strong>Colour family</strong> — White</li><li><strong>Coverage</strong> — 7.56 sq ft per box (8 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, White, Arabesque, Honed","Water Drop Calacatta Gold Honed 11"" x 11"" Mosaic","Water Drop Calacatta Gold Honed 11"" x 11"" Mosaic. Natural marble sold by the box, $37.14 per sq ft. Samples available. Ships across the continental US.",Marble,"11"" x 11""",Arabesque,Honed,White,8,7.56,0.375,37.14,sq ft,WADRMARMOS502581
geometric-thassos-black-marble-polished-floor-wall-mosaic,UPDATE,"Geoterra Thassos & Black Marble 10 1/8"" x 10"" Mosaic — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 10 1/8"" x 10""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Hexagon</li><li><strong>Colour family</strong> — Grey</li><li><strong>Coverage</strong> — 5.6 sq ft per box (6 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, Grey, Hexagon, Polished","Geoterra Thassos & Black Marble 10 1/8"" x 10"" Mosaic — Polished","Geoterra Thassos & Black Marble 10 1/8"" x 10"" Mosaic — Polished. Natural marble sold by the box, $30.86 per sq ft. Samples available. Ships across the continental US.",Marble,"10 1/8"" x 10""",Hexagon,Polished,Grey,6,5.6,0.375,30.86,sq ft,GETHMARMOS524085
geometric-thassos-carrara-marble-polished-floor-wall-mosaic,UPDATE,"Geoterra Thassos & Carrara Marble 10 1/8"" x 10"" Mosaic — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 10 1/8"" x 10""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Hexagon</li><li><strong>Colour family</strong> — Grey</li><li><strong>Coverage</strong> — 5.6 sq ft per box (6 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, Grey, Hexagon, Polished","Geoterra Thassos & Carrara Marble 10 1/8"" x 10"" Mosaic — Polished","Geoterra Thassos & Carrara Marble 10 1/8"" x 10"" Mosaic — Polished. Natural marble sold by the box, $30.86 per sq ft. Samples available. Ships across the continental US.",Marble,"10 1/8"" x 10""",Hexagon,Polished,Grey,6,5.6,0.375,30.86,sq ft,GETHMARMOS522357
calgldmos1356,UPDATE,"Calacatta Gold White Marble Fish Scale 12"" x 12"" Mosaic — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 12"" x 12""</li><li><strong>Finish</strong> — Polished</li><li><strong>Colour family</strong> — White</li><li><strong>Coverage</strong> — 8.0 sq ft per box (8 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, White, Polished","Calacatta Gold White Marble Fish Scale 12"" x 12"" Mosaic — Polished","Calacatta Gold White Marble Fish Scale 12"" x 12"" Mosaic — Polished. Natural marble sold by the box, $21.26 per sq ft. Samples available. Ships across the continental US.",Marble,"12"" x 12""",,Polished,White,8,8.0,0.375,21.26,sq ft,CAGOMARMOS859361
alice-pearl-calacatta-11-5-x-12-waterjet-mosaic,UPDATE,"Alice Pearl Calacatta Waterjet Marble 11 1/2"" x 12"" Mosaic","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 11 1/2"" x 12""</li><li><strong>Pattern</strong> — Arabesque</li><li><strong>Colour family</strong> — White</li><li><strong>Coverage</strong> — 8.62 sq ft per box (9 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, White, Arabesque","Alice Pearl Calacatta Waterjet Marble 11 1/2"" x 12"" Mosaic","Alice Pearl Calacatta Waterjet Marble 11 1/2"" x 12"" Mosaic. Natural marble sold by the box, $111.18 per sq ft. Samples available. Ships across the continental US.",Marble,"11 1/2"" x 12""",Arabesque,,White,9,8.62,0.375,111.18,sq ft,ALPEMARMOS952181
carrara-white-marble-16x24-leathered-tile,UPDATE,"Carrara Blue Grey White Marble Leathered 16"" x 24"" Tile","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 16"" x 24""</li><li><strong>Finish</strong> — Leathered</li><li><strong>Colour family</strong> — White</li><li><strong>Sold by</strong> — the piece</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Floor & Wall Tile, Natural Stone, Floor, Wall, White, Leathered, Large Format","Carrara Blue Grey White Marble Leathered 16"" x 24"" Tile","Carrara Blue Grey White Marble Leathered 16"" x 24"" Tile. Natural marble sold by the piece, $47.39 per piece. Samples available. Ships across the continental US.",Marble,"16"" x 24""",,Leathered,White,1,,0.375,47.39,piece,CAWHMARTIL481141
thassos-white-greek-marble-mosaic-3-8-chevron-large-thassos-black-thin-strips-mosaic,UPDATE,Thassos Pure White Marble Chevron - Large w/ Black Thin Strips Mosaic — Polished,"<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Chevron</li><li><strong>Colour family</strong> — White</li><li><strong>Coverage</strong> — 8.0 sq ft per box (8 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, White, Chevron, Polished",Thassos Pure White Marble Chevron - Large w/ Black Thin Strips Mosaic ,"Thassos Pure White Marble Chevron - Large w/ Black Thin Strips Mosaic — Polished. Natural marble sold by the box, $21.90 per sq ft. Samples available. Ships across the continental US.",Marble,,Chevron,Polished,White,8,8.0,0.375,21.90,sq ft,THWHMARMOS827317
willow-leaf-carrara-thassos-marble-polished-backsplash,UPDATE,"Leaves Carrara & Thassos Marble 12"" x 12"" Tile — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 12"" x 12""</li><li><strong>Finish</strong> — Polished</li><li><strong>Colour family</strong> — White</li><li><strong>Coverage</strong> — 7.36 sq ft per box (7 pieces)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Floor & Wall Tile, Natural Stone, Floor, Wall, White, Polished","Leaves Carrara & Thassos Marble 12"" x 12"" Tile — Polished","Leaves Carrara & Thassos Marble 12"" x 12"" Tile — Polished. Natural marble sold by the box, $30.43 per sq ft. Samples available. Ships across the continental US.",Marble,"12"" x 12""",,Polished,White,7,7.36,0.375,30.43,sq ft,WATERJET127
penny-calacatta-marble-11-x-11-75-mosaic-tile-1,UPDATE,"Penny Calacatta Polished Marble 11"" x 11 3/4"" Mosaic","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 11"" x 11 3/4""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Penny Round</li><li><strong>Colour family</strong> — White</li><li><strong>Coverage</strong> — 8.98 sq ft per box (9 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, White, Penny Round, Polished","Penny Calacatta Polished Marble 11"" x 11 3/4"" Mosaic","Penny Calacatta Polished Marble 11"" x 11 3/4"" Mosaic. Natural marble sold by the box, $34.76 per sq ft. Samples available. Ships across the continental US.",Marble,"11"" x 11 3/4""",Penny Round,Polished,White,9,8.98,0.375,34.76,sq ft,PECAMARMOS727477
checkerboard-bianco-dolomite-calacatta-gold-12x12-polished-tile,UPDATE,"Checkerboard Bianco Dolomite & Calacatta Gold Polished 12"" x 12"" Tile","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 12"" x 12""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Checkerboard</li><li><strong>Colour family</strong> — White</li><li><strong>Coverage</strong> — 10.0 sq ft per box (10 pieces)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Floor & Wall Tile, Natural Stone, Floor, Wall, White, Checkerboard, Polished","Checkerboard Bianco Dolomite & Calacatta Gold Polished 12"" x 12"" Tile","Checkerboard Bianco Dolomite & Calacatta Gold Polished 12"" x 12"" Tile. Natural marble sold by the box, $24.98 per sq ft. Samples available. Ships across the continental US.",Marble,"12"" x 12""",Checkerboard,Polished,White,10,10.0,0.375,24.98,sq ft,CHBIMARTIL802421
aether-calacatta-11-5-x-12-mosaic-tile,UPDATE,"Aether Calacatta 11 1/2"" x 12"" Mosaic — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 11 1/2"" x 12""</li><li><strong>Finish</strong> — Polished</li><li><strong>Colour family</strong> — White</li><li><strong>Coverage</strong> — 10.54 sq ft per box (11 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, White, Polished","Aether Calacatta 11 1/2"" x 12"" Mosaic — Polished","Aether Calacatta 11 1/2"" x 12"" Mosaic — Polished. Natural marble sold by the box, $34.49 per sq ft. Samples available. Ships across the continental US.",Marble,"11 1/2"" x 12""",,Polished,White,11,10.54,0.375,34.49,sq ft,AECAMARMOS547573
checkerboard-thassos-white-crema-marfil-24x24-polished-tile,UPDATE,"Checkerboard Thassos White & Crema Marfil Polished 24"" x 24"" Tile","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 24"" x 24""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Checkerboard</li><li><strong>Colour family</strong> — Beige</li><li><strong>Coverage</strong> — 39.99 sq ft per box (10 pieces)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Floor & Wall Tile, Natural Stone, Floor, Wall, Beige, Checkerboard, Polished, Large Format","Checkerboard Thassos White & Crema Marfil Polished 24"" x 24"" Tile","Checkerboard Thassos White & Crema Marfil Polished 24"" x 24"" Tile. Natural marble sold by the box, $38.48 per sq ft. Samples available. Ships across the continental US.",Marble,"24"" x 24""",Checkerboard,Polished,Beige,10,39.99,0.375,38.48,sq ft,CHTHMARTIL417845
